LON,LAT,EDO,CLAVE,ESTACION,ago-22
-90.741111,18.604444,CAMP,ESCCA,"Esc·rcega, Camp.",164.3
-90.105556,20.184167,CAMP,HECCA,"Hecelchak·n, Camp.",186.0
-89.848333,19.751944,CAMP,HPOCA,"HopelchÈn, Camp.",93.9
-90.820833,18.056944,CAMP,MONCLOVACAMP,"Monclova, Camp. SMN*",159.0
-90.221389,19.605833,CAMP,NYXCA,"Noh-YaxchÈ, Camp.",205.1
-92.086944,18.253056,CAMP,PLZCA,"Palizada, Camp.",192.0
-91.175833,18.972778,CAMP,SBNCA,"Sabancuy, Camp.",233.0
-89.860278,19.664444,CAMP,XCPCA,"Xcupil, Camp.",67.4
-89.396111,18.502222,CAMP,XPJCA,"Xpujil, Camp.",117.0
-90.310833,19.013611,CAMP,YOHALTUM,"Yohalt˙n, Camp. SMN*",300.2
-107.482778,28.481667,CHIH,AGZCH,"Abraham Gonz·lez, Chih.",398.0
-107.255556,28.771667,CHIH,BACCH,"BachÌniva, Chih.",265.5
-106.219444,27.446667,CHIH,BOCADELRIO,"Boca del RÌo, Chih. SGT*",307.5
-107.723611,27.033611,CHIH,BTPCH,"Batopilas, Chih.",148.5
-106.484722,28.802778,CHIH,C08099,"Majalca, Chih.",351.0
-108.52,28.147222,CHIH,C08182,"Moris, Chih.",227.0
-108.092778,29.251944,CHIH,C08219,"PeÒitas, Chih.",131.0
-107.6975,28.759722,CHIH,C08243,"Tejolocachi, Chih.",278.0
-105.963611,28.773333,CHIH,C08270,"La Mesa, Chih.",147.1
-107.930833,30.376667,CHIH,CAGCH,"Observatorio de Nuevo Casas Grandes, Chih.",173.2
-106.84,28.396667,CHIH,CDCUAUHTEMOC,"Ciudad CuauhtÈmoc, Chih. SMN*",318.2
-105.446944,28.210833,CHIH,CDLCH,"Ciudad Delicias, Chih.",141.0
-108.535556,27.392222,CHIH,CHICH,"ChÌnipas, Chih. SMN*",184.1
-106.770556,26.229444,CHIH,CHNCH,"Chinat˙, Chih. SMN*",330.4
-106.167778,28.570556,CHIH,CHUCH,"Chihuahua, Chih.",189.4
-106.400278,31.736667,CHIH,CJZCH,"Ciudad Ju·rez, Chih.",80.9
-105.381667,27.410278,CHIH,CL2CH,"Colina hidromÈtrica, Chih.",169.0
-105.382222,27.576389,CHIH,CLNCH,"Ing. Andrew Weiss, Chih.",166.0
-108.541667,27.416667,CHIH,CNDCH,"ChÌnipas, Chih.",314.4
-107.633333,27.75,CHIH,CRLCH,"Creel, Chih.",316.7
-106.390278,26.473333,CHIH,ELVERGELSMN,"El Vergel, Chih. SMN*",320.3
-106.119444,28.614722,CHIH,ERECH,"El RejÛn, Chih.",189.4
-105.628889,28.166111,CHIH,FIMCH,"Las VÌrgenes, Chih.",129.4
-107.072222,26.816667,CHIH,GCCCH,"Guachochi, Chih. SMN*",196.2
-108.3,29.2,CHIH,GPCCH,"Guapoca, Chih.",148.5
-107.072778,26.813056,CHIH,GRCCH,"Guerachi, Chih.",200.4
-107.879167,26.870833,CHIH,IGNCH,"San Ignacio, Chih.",103.0
-108.427222,30.838889,CHIH,JANOS,"Janos, Chih. SMN*",141.4
-105.414167,27.544722,CHIH,LBQCH,"La Boquilla, Chih.",229.5
-107.025833,29.88,CHIH,LJSCH,"Las Lajas, Chih.",141.0
-105.28,28.984444,CHIH,LLNCH,"El Granero, Chih.",190.7
-106.486111,28.803333,CHIH,MAJALCA,"Cumbres de Majalca, Chih. SMN*",319.0
-107.133333,27.25,CHIH,NRGCH,"Norogachi, Chih.",198.2
-104.410833,29.565,CHIH,OJNCH,"Ojinaga, Chih.",137.2
-105.254167,26.546389,CHIH,PAGCH,"Pico del ¡guila, Chih.",159.8
-105.280833,28.95,CHIH,PGRANERO,"Presa el Granero, Chih. SGT*",131.6
-105.675556,26.917778,CHIH,PRRCH,"Observatorio de Parral, Chih.",311.9
-106.085556,28.656944,CHIH,QIJCH,"Observatorio de Chihuahua, Chih.",179.2
-107.973333,26.9425,CHIH,TBRSI,"San Francisco, Chih.",181.3
-107.85,28.95,CHIH,TMCCH,"Observatorio de TemÛsachic, Chih.",163.4
-107.9125,27.216667,CHIH,URECH,"Urique, Chih.",279.7
-105.16,26.738611,CHIH,VICCH,"Villa Coronado, Chih.",218.1
-105.773333,27.99,CHIH,VILLALBA,"Villalba, Chih. SGT*",170.5
-105.806944,27.454444,CHIH,VZRCH,"Valle de Zaragoza, Chih.",297.5
-92.804167,16.552778,CHIS,ACACP,"Acala, Chis.",288.0
-92.034722,16.737778,CHIS,ALTAMIRANO,"Altamirano, Chis. SGT*",227.6
-92.778889,16.401389,CHIS,ANGCP,"Doctor Belisario DomÌnguez, Chis.",191.6
-93.8975,16.241111,CHIS,AROCP,"Observatorio de Arriaga, Chis.",198.4
-92.874722,17.188889,CHIS,ARROYOGRANDE,"Arroyo Grande, Chis. SGT*",270.5
-93.427222,17.253611,CHIS,AZAPACCFE,"Aza-Pac, Chis. CFE*",205.5
-92.905833,16.997222,CHIS,BOCHIL,"Bochil, Chis. SGT*",192.3
-93.026389,16.9525,CHIS,BOMBANA,"Bombana, Chis. SGT*",210.3
-93.15,16.641944,CHIS,BOQCP,"BoquerÛn, Chis.",222.9
-92.716667,15.35,CHIS,CACCP,"Cacaluta, Chis.",619.6
-92.4875,16.308333,CHIS,CASCAJAL,"Cascajal, Chis. SGT*",124.2
-92.479167,16.308333,CHIS,CASCP,"Cascajal, Chis.",140.4
-92.483056,15.969167,CHIS,CATARINITAS,"Catarinitas, Chis. SGT*",71.0
-93.117222,16.757778,CHIS,CENTRO2APTE,"Centro Segunda Poniente, Chis. SGT*",136.8
-91.703333,17.472222,CHIS,CHACAMAX,"Chacamax, Chis. SGT*",261.8
-92.618611,16.963333,CHIS,CHALCHIHUITAN,"Chalchihuit·n, Chis. SGT*",465.2
-93.131389,17.341389,CHIS,CHAPULTENANGO,"Chapultenango, Chis. SGT*",367.6
-92.715556,16.578056,CHIS,CHIAPILLA,"Villa de Chiapilla, Chis. SGT*",122.9
-92.281389,15.750278,CHIS,CHICOMUSELO,"Chicomuselo, Chis. SGT*",216.8
-93.100556,16.941667,CHIS,CHICP,"Manuel Moreno Torres, Chis.",266.1
-92.283333,15.75,CHIS,CHMCP,"Chicomuselo, Chis.",242.3
-93.466944,16.441389,CHIS,COBREGONCFE,"CristÛbal ObregÛn, Chis. CFE*",251.5
-92.133333,16.233333,CHIS,COMITANob,"Observatorio de Comit·n, Chis. SMN*",117.0
-92.1,16.2,CHIS,COOCP,"Observatorio de Comit·n, Chis.",223.6
-93.906111,16.2425,CHIS,CREDARRIAGA,"Cred Arriaga, Chis. SMN*",218.8
-93.076389,16.166944,CHIS,CREDREVOLUCIONM,"Cred RevoluciÛn Mexicana, Chis. SMN*",325.5
-93.15,16.730556,CHIS,CRISTALTV,"Cristal TV Azteca, Chis. SGT*",184.7
-92.965278,15.727778,CHIS,CUXTEPEQUES,"Finca Cuxtepeques, Chis. SGT*",309.5
-92.864444,16.038611,CHIS,CUXTEPEQUESCFE,"Cuxtepeques, Chis. CFE*",188.9
-92.938056,15.881944,CHIS,CUXTEPEQUESHM,"Finca Cuxtepeques hidromÈtrica, Chis. SGT*",266.1
-92.575,15.204167,CHIS,DESCP,"Despoblado, Chis.",618.5
-92.925278,16.108333,CHIS,DORADOCFE,"El Dorado, Chis. CFE*",324.2
-92.590833,16.686111,CHIS,ELAGUAJE,"El Aguaje, Chis. SGT*",122.8
-92.584722,16.725833,CHIS,ELARCOTETE,"El Arcotete, Chis. SGT*",197.0
-92.828611,16.787778,CHIS,ELBURRERO,"El Burrero, Chis. SGT*",253.9
-92.95,15.495833,CHIS,ELNCP,"El Novillero, Chis.",369.9
-92.8975,15.994444,CHIS,ELPORTILLO,"El Portillo, Chis. SGT*",164.6
-92.808056,15.656667,CHIS,ELTRIUNFO,"El Triunfo, Chis. SMN*",472.3
-92.829444,17.373056,CHIS,ESCALONCP,"El EscalÛn, Chis. SGT*",334.9
-92.666667,15.316667,CHIS,ESCCP,"Escuintla, Chis.",808.7
-92.67,15.33,CHIS,ESCUINTLA,"Escuintla, Chis. SMN*",590.3
-93.342222,17.216667,CHIS,EZAPATACFE,"Emiliano Zapata, Chis. CFE*",293.8
-92.299167,15.126667,CHIS,FARCP,"Finca Argovia, Chis.",696.3
-92.325278,15.173889,CHIS,FHACP,"Finca Hamburgo, Chis.",663.8
-92.476111,15.346667,CHIS,FPZCP,"Finca la Paz, Chis.",512.5
-93.125,16.975,CHIS,GRICP,"Grijalva, Chis.",270.7
-92.402778,14.997222,CHIS,HUECP,"Huehuet·n, Chis.",256.8
-92.472222,15.133333,CHIS,HUICP,"Huixtla, Chis.",773.8
-92.454167,16.712778,CHIS,HUIXTAN,"Huixt·n, Chis. SGT*",188.6
-92.471389,15.146944,CHIS,HUIXTLA,"Huixtla, Chis. SGT*",598.4
-92.72,15.886111,CHIS,JALTENANGO,"Jaltenango, Chis. SGT*",349.0
-92.725,15.866667,CHIS,JAPCP,"Jaltenango, Chis.",326.5
-93.381389,17.364167,CHIS,JDGCP,"Juan de Grijalva, Chis.",273.3
-92.898611,15.996389,CHIS,JSBCP,"Juan Sabines, Chis.",283.9
-93.560278,16.692778,CHIS,LASFLORESCFE,"Las Flores, Chis. CFE*",359.7
-93.563333,16.6925,CHIS,LASFLORESII,"Las Flores Dos, Chis. SGT*",333.0
-93.561111,16.695833,CHIS,LFLCP,"Las Flores, Chis.",366.7
-91.73,16.114444,CHIS,LMONTEBELLO,"Lagunas de Montebello, Chis. SMN*",220.7
-93.598889,17.178611,CHIS,MALCP,"NezahualcÛyotl, Chis.",177.3
-93.604722,17.199444,CHIS,MALPASOCFE,"Malpaso, Chis. CFE*",161.4
-92.883333,15.45,CHIS,MAPCP,"Mapastepec, Chis.",597.7
-93.105833,16.741944,CHIS,MODULO5,"MÛdulo Cinco, Chis. SGT*",212.8
-92.673889,17.185556,CHIS,MOJOSTIC,"Mojostic, Chis. SGT*",243.5
-93.384444,16.0675,CHIS,MONTERREYCFE,"Monterrey, Chis. CFE*",267.2
-92.2675,15.333333,CHIS,MOTOZINTLA,"Motozintla, Chis. SGT*",192.0
-93.091389,16.7225,CHIS,MUCH,"Museo de Chiapas de Ciencia y TecnologÌa, Chis. SGT*",270.9
-93.631667,16.493889,CHIS,NVAPALESTINA,"Nueva Palestina, Chis. SGT*",240.2
-93.150556,17.220556,CHIS,OCOCP,"Ocotepec, Chis.",330.2
-92.3375,16.851111,CHIS,OXCHUC,"Oxchuc, Chis. SGT*",203.2
-91.968056,15.848611,CHIS,PCOCP,"Puente Concordia, Chis.",185.4
-91.967778,15.849444,CHIS,PCONCORDIACFE,"Puente Concordia, Chis. CFE*",185.6
-93.458611,17.446111,CHIS,PENCP,"¡ngel Albino Corzo, Chis.",194.0
-93.474444,17.463611,CHIS,PENITAS,"PeÒitas, Chis. SGT*",208.5
-93.457778,17.445,CHIS,PENITASCFE,"PeÒitas, Chis. CFE*",187.7
-93.216667,15.691667,CHIS,PIJCP,"Pijijiapan, Chis.",221.8
-92.794167,15.714444,CHIS,PRUSIA,"Prusia, Chis. SGT*",457.2
-93.186667,16.753889,CHIS,PTECLUBCAMP,"Puente Club Campestre, Chis. SGT*",229.7
-92.649167,16.725278,CHIS,PTEMORELOS,"Puente Morelos, Chis. SGT*",123.0
-92.618056,16.7475,CHIS,QUIOSCO,"Quiosco, Chis. SGT*",245.2
-93.551667,17.353889,CHIS,RCALZADACFE,"RÛmulo Calzada, Chis. CFE*",112.5
-92.666667,15.916667,CHIS,REFCP,"Reforma, Chis.",217.7
-93.356111,17.883056,CHIS,REFORMA,"Reforma, Chis. SGT*",130.5
-93.030278,17.413333,CHIS,REFUGIOCP,"El Refugio, Chis. SGT*",293.3
-93.079167,16.158333,CHIS,REVCP,"RevoluciÛn Mexicana, Chis.",344.0
-93.102778,17.4975,CHIS,RIOJANEIRO,"RÌo de Janeiro, Chis. SGT*",255.1
-92.35,17.566667,CHIS,SAACP,"Salto de Agua, Chis.",218.9
-93.128889,16.790278,CHIS,SANJUANSEMIN,"San Juan Seminario, Chis. SGT*",190.7
-92.239167,15.776667,CHIS,SANMIGUELCFE,"San Miguel, Chis. CFE*",249.7
-91.3475,16.405278,CHIS,SANQUINTINHM,"San QuintÌn, Chis. SGT*",401.0
-93.741111,16.699722,CHIS,SANTALUCIAHM,"Santa LucÌa, Chis. SGT*",127.6
-93.383333,17.425,CHIS,SAYCP,"Sayula, Chis.",223.7
-92.603056,16.727222,CHIS,SCCASASCFE,"San CristÛbal de las Casas, Chis. CFE*",126.0
-92.633333,16.733333,CHIS,SCOCP,"Observatorio de San CristÛbal, Chis.",155.7
-92.616667,16.741667,CHIS,SCRCP,"Puente Morelos, Chis.",134.7
-93.056389,16.4525,CHIS,SDOCP,"Santo Domingo, Chis.",219.2
-93.1,16.786111,CHIS,SECTEC103,"Secundaria TÈcnica 103, Chis. SGT*",214.5
-93.133889,16.747222,CHIS,SECTEC59,"Secundaria TÈcnica 59, Chis. SGT*",151.2
-92.951389,15.872778,CHIS,SFRANCISCOII,"San Francisco 2, Chis. SGT*",249.0
-92.321944,15.558056,CHIS,SILTEPEC,"Siltepec, Chis. SGT*",201.0
-92.308333,17.028611,CHIS,SITALA,"Sitala, Chis. SGT*",243.9
-93.085,17.561111,CHIS,SJOCP,"San JoaquÌn, Chis.",123.4
-92.239444,15.775,CHIS,SMICP,"San Miguel, Chis.",250.7
-93.591111,16.152222,CHIS,SMORENACFE,"Sierra Morena, Chis. CFE*",320.0
-92.820833,16.938889,CHIS,SNACP,"Santa MarÌa, Chis.",238.2
-92.633333,16.733333,CHIS,SNCRISTOBALob,"Observatorio de San CristÛbal, Chis. SMN*",123.6
-92.731389,17.035556,CHIS,SPNICHTALUCUM,"San Pedro Nichtalucum, Chis. SGT*",362.8
-92.148889,14.698611,CHIS,SUCHIATE,"Suchiate, Chis. SGT*",123.3
-93.034167,16.742778,CHIS,SUMIDEROCFE,"CaÒÛn del Sumidero, Chis. CFE*",187.0
-93.244722,17.494167,CHIS,SUNUAPA,"Sunuapa, Chis. SGT*",209.6
-92.426389,17.300278,CHIS,TILA,"Tila, Chis. SGT*",322.4
-93.529167,15.875,CHIS,TPICP,"Tres Picos, Chis.",533.7
-93.0575,16.736111,CHIS,TRABAJOSOCIAL,"Trabajo Social, Chis. SGT*",174.2
-93.577778,16.227222,CHIS,TRESPICOSCFE,"Tres Picos, Chis. CFE*",391.7
-93.1,16.761944,CHIS,TUXCP,"Tuxtla Oriente, Chis.",274.2
-93.086111,16.761667,CHIS,TUXTLACFE,"Tuxtla, Chis. CFE*",207.9
-93.147222,16.762778,CHIS,TUXTLAGTZob,"Observatorio de Tuxtla GutiÈrrez, Chis. SMN*",129.0
-93.086667,16.755278,CHIS,TXCCP,"Tuxtla GutiÈrrez CFE, Chis.",205.9
-93.133333,16.75,CHIS,TXOCP,"Observatorio de Tuxtla GutiÈrrez, Chis.",237.2
-93.414167,17.231111,CHIS,TZIMBACCFE,"Tzimbac, Chis. CFE*",208.4
-93.121944,16.778056,CHIS,UNICACH,"Universidad de Ciencias y Artes de Chiapas, Chis. SGT*",185.0
-92.909722,17.178333,CHIS,UNIVERSIDADLIND,"Universidad Lindavista, Chis. SMN*",182.0
-93.248056,16.253889,CHIS,VILLAFLORES,"Villaflores, Chis. SGT*",274.3
-93.330556,17.116667,CHIS,YAMCP,"YamonhÛ, Chis.",194.9
-91.729722,16.909167,CHIS,YAQUINTELA,"Yaquintela, Chis. SGT*",205.6
-92.799722,17.270833,CHIS,ZACATONAL,"Zacatonal de Ju·rez, Chis. SGT*",341.3
-100.837222,28.344444,COAH,ADLCL,"Allende, Coah.",256.0
-101.057222,29.446944,COAH,AMSCL,"Internacional La Amistad, Coah.",109.9
-100.929722,25.561111,COAH,ARACL,"Ramos Arizpe Aeropuerto, Coah.",23.3
-102.064444,26.983333,COAH,CCGCL,"Cuatro CiÈnegas, Coah.",78.5
-100.950278,29.327778,COAH,CDACL,"Ciudad AcuÒa, Coah.",239.0
-100.661111,26.844444,COAH,CDLCL,"Candela, Coah.",120.5
-100.95,29.213611,COAH,CNTCL,"El Centenario, Coah.",309.0
-102.037778,26.990278,COAH,CUATROCIENEGAS,"Cuatro CiÈnegas, Coah. SMN*",82.4
-103.469167,25.542222,COAH,CYTCL,"Coyote, Coah.",62.4
-100.920833,25.436111,COAH,ESLCL,"SecretarÌa de Agricultura Saltillo, Coah.",38.7
-103.262778,25.773889,COAH,FIMCL,"Francisco I. Madero, Coah.",68.0
-100.954444,29.329167,COAH,LASVACASC,"Las Vacas. Ciudad AcuÒa, Coah. CILA*",214.4
-103.283889,25.068056,COAH,LFLDR,"La Flor, Coah.",97.4
-103.228056,25.527778,COAH,MATCL,"Matamoros, Coah.",85.0
-101.4225,26.908333,COAH,MCVCL,"Observatorio de Monclova, Coah.",104.9
-101.711389,28.013056,COAH,MORELOSMUZQUIZ,"Morelos M˙zquiz, Coah. SMN*",191.2
-100.5325,28.706667,COAH,PNGCL,"Observatorio de Piedras Negras, Coah.",289.8
-101.002222,27.422222,COAH,PRSCL,"Progreso, Coah.",73.0
-100.556944,28.667778,COAH,RIOESCONDIDOC,"RÌo Escondido Villa De Fuentes, Coah. CILA*",176.3
-101.016667,25.376389,COAH,SALCL,"Observatorio de Saltillo, Coah.",48.8
-101.016667,25.376389,COAH,SALTILLOob,"Observatorio de Saltillo, Coah. SMN*",49.0
-100.730833,29.071944,COAH,SANDIEGOC,"San Diego JimÈnez, Coah. CILA*",162.5
-101.122778,27.846667,COAH,SBNCL,"Sabinas, Coah.",242.5
-100.953889,29.034167,COAH,SMGCL,"San Miguel, Coah.",149.2
-102.979444,25.7575,COAH,SPECL,"San Pedro, Coah.",62.3
-101.016667,25.376389,COAH,STOCL,"Saltillo, Coah.",40.5
-103.45,25.541667,COAH,TORCL,"Observatorio de TorreÛn, Coah.",73.9
-100.95,27.519444,COAH,VCARRANZA,"Venustiano Carranza, Coah. SMN*",80.2
-100.616111,27.515,COAH,VCRCL,"Venustiano Carranza, Coah.",93.0
-103.613056,19.2475,COL,BVSCM,"Buenavista, Col.",212.0
-103.725556,18.758611,COL,CDOCM,"Cerro de Ortega, Col.",87.5
-103.702778,19.295,COL,CHNCM,"El Chanal, Col.",163.9
-103.757222,19.3175,COL,CMLCM,"Comala, Col.",232.1
-103.804167,19.2125,COL,CQMCM,"Coquimatl·n, Col.",127.2
-103.6,19.325,COL,CUACM,"CuauhtÈmoc, Col.",388.5
-103.884444,19.111389,COL,DJLCM,"Presa derivadora Jala, Col.",143.4
-110.953611,18.726667,COL,ISOCORROmar,"Isla Socorro, Col. SEMAR*",290.3
-103.866389,19.17,COL,LAECM,"La Esperanza, Col.",58.0
-103.774167,18.809167,COL,LDACM,"Laguna de Amela, Col.",88.9
-103.725278,19.223333,COL,LPSCM,"La Posta, Col.",136.8
-104.297778,19.069167,COL,MANZANILLOmar,"Manzanillo, Col. SEMAR*",200.8
-104.316667,19.046389,COL,MANZANILLOob,"Observatorio de Manzanillo, Col. SMN*",93.4
-104.318611,19.044444,COL,MNZCM,"Observatorio de Manzanillo, Col.",133.7
-103.8125,19.3275,COL,PNTCM,"PeÒitas, Col.",221.6
-104.100556,18.938611,COL,RDRCM,"Radar, Col.",119.6
-103.700833,19.408333,COL,SCHCM,"Suchitl·n, Col.",629.6
-103.867778,18.911667,COL,TCMCM,"Tecom·n, Col.",131.6
-103.663333,19.2775,COL,TRPCM,"Trapiche, Col.",207.0
-99.210278,19.218611,DF,AJSDF,"Ajusco, Cd. de MÈx.",217.6
-99.188889,19.214722,DF,AJUSCO,"Ajusco, Cd. de MÈx. UNAM*",199.1
-99.08,19.465833,DF,ARAGON,"Conagua AragÛn, Cd. de MÈx. UNAM*",73.6
-99.102778,19.423056,DF,BALBUENA,"Balbuena, Cd. de MÈx. UNAM*",101.1
-99.118056,19.469722,DF,BONDOJITO,"Bondojito, Cd. de MÈx. UNAM*",102.6
-99.171667,19.453333,DF,CBIDF,"Escuela Nacional de Ciencias BiolÛgicas IPN, Cd. de MÈx. SMN*",80.0
-99.171667,19.453333,DF,CBIOLOGIPN,"Eescuela Nacional de Ciencias BiolÛgicas IPN, Cd. de MÈx. OCAVM*",91.2
-99.059722,19.383889,DF,CCHOTE,"Colegio de Ciencias y Humanidades Oriente, Cd. de MÈx. UNAM*",108.7
-99.140833,19.483333,DF,CCHVALLEJO,"Colegio de Ciencias y Humanidades Vallejo, Cd. de MÈx. UNAM*",86.7
-99.180556,19.346667,DF,CCUDF,"Universidad, Cd. de MÈx.",180.9
-98.999444,19.357222,DF,CDMDF,"C·rcel de Mujeres, Cd. de MÈx.",101.3
-99.1125,19.407778,DF,CDVDF,"Ciudad Deportiva, Cd. de MÈx.",98.6
-99.1375,19.516667,DF,CEADF,"Campamento Amealco, Cd. de MÈx.",108.4
-99.208333,19.155556,DF,CFSDF,"Caseta Forestal, Cd. de MÈx.",185.4
-99.1375,19.469722,DF,CMTDF,"Avenida Cien Metros, Cd. de MÈx.",43.4
-99.183333,19.486389,DF,CMYDF,"Campamento Mecoaya, Cd. de MÈx.",98.5
-99.134722,19.287778,DF,COAPA,"Coapa, Cd. de MÈx. UNAM*",114.2
-99.19,19.3375,DF,CONAGUAOFC,"Conagua Oficinas Centrales, Cd. de MÈx SGT*",156.1
-99.196111,19.406389,DF,CTMDF,"Observatorio de Tacubaya, Cd. de MÈx.",114.4
-99.09,19.190278,DF,CTNDF,"San Salvador Cuauhtenco, Cd. de MÈx.",231.2
-99.291667,19.355278,DF,CUAJIMALPA,"Memetla Cuajimalpa, Cd. de MÈx. UNAM*",164.8
-99.097222,19.193611,DF,CUAUHTENCO,"Cuauhtenco, Cd. de MÈx. UNAM*",167.5
-99.140833,19.549444,DF,CUAUTEPEC,"Cuautepec, Cd. de MÈx. UNAM*",86.5
-99.104722,19.282778,DF,CUEMANCO,"Cuemanco, Cd. de MÈx. UNAM*",123.0
-99.105,19.323333,DF,CULHUACAN,"Culhuac·n, Cd. de MÈx. UNAM*",109.6
-99.09,19.484167,DF,CYLDF,"Coyol, Cd. de MÈx.",73.7
