LON,LAT,EDO,CLAVE,ESTACION,mar-22
-96.795278,18.888056,VER,PTNVC,"Potrero Nuevo, Ver.",2.0
-95.627778,18.716667,VER,RALVC,"Radar Alvarado, Ver.",0.0
-96.713889,20.157778,VER,RAUVC,"El Raudal, Ver.",25.6
-97.809722,20.887222,VER,SBTVC,"Sombrerete, Ver.",5.4
-96.921389,19.578611,VER,SEDVC,"SedeÒo, Ver.",25.8
-95.183333,18.45,VER,SIHVC,"Sihuap·n, Ver.",0.8
-95.133333,17.883333,VER,SJEVC,"San Juan Evangelista, Ver.",0.4
-96.130556,19.085833,VER,SJNVC,"San JosÈ Novillero, Ver.",1.5
-95.033333,18.516667,VER,SONVC,"Sontecomapan, Ver.",35.8
-95.212778,18.450833,VER,STXVC,"San AndrÈs Tuxtla AC, Ver.",10.0
-96.488889,19.338889,VER,TAMVC,"Tamarindo, Ver.",0.0
-96.966667,19.45,VER,TAPVC,"Tapachapan, Ver.",66.9
-96.966667,19.383333,VER,TCOVC,"Teocelo, Ver.",74.0
-97.125278,18.579722,VER,TLQVC,"Tlaquilpa, Ver.",2.3
-94.163333,17.571944,VER,TMOVC,"Tierra Morada, Ver.",21.0
-98.409444,21.499722,VER,TMPVC,"Tempoal, Ver.",4.0
-96.916667,19.811111,VER,TNCVC,"Tenochtitl·n, Ver.",34.2
-97.2225,19.921944,VER,TOMVC,"Tomata, Ver.",30.3
-96.950278,19.233611,VER,TOTVC,"Totutla, Ver.",16.5
-98.153056,21.039722,VER,TRRVC,"Terrerillos, Ver.",2.2
-97.4,20.955556,VER,TXPVC,"Observatorio de Tuxpan, Ver.",12.2
-95.416667,18.466667,VER,TZAVC,"Tres Zapotes, Ver.",13.2
-96.111111,19.154167,VER,VERVC,"Observatorio de Veracruz, Ver.",0.5
-96.613889,19.022222,VER,VTEVC,"Villa Tejeda, Ver.",9.0
-96.85,19.55,VER,XCFVC,"Xalapa CFE, Ver.",27.8
-96.903889,19.542222,VER,XCRVC,"Xalapa Cristal, Ver.",21.9
-96.935556,19.547222,VER,XMGVC,"Xalapa Magisterial, Ver.",31.4
-96.916667,19.533333,VER,XOBVC,"Observatorio de Xalapa, Ver.",25.5
-96.871667,19.511667,VER,XOLVC,Xalapa Olmos,27.0
-96.915556,19.565833,VER,XREVC,"Xalapa RevoluciÛn, Ver.",25.7
-96.894444,19.555833,VER,XSUVC,"Xalapa Sumidero, Ver.",24.0
-96.777778,19.863889,VER,YECVC,"Yecuatla, Ver.",31.4
-97.388889,19.413889,VER,ZALVC,"Zalayeta, Ver.",5.0
-89.681111,20.649444,YUC,ABAYC,"Abal·, Yuc.",17.0
-89.218889,19.883056,YUC,BECYC,"BecanchÈn, Yuc.",49.0
-89.081667,20.463056,YUC,CANYC,"Cantamayec, Yuc.",42.5
-90.3825,20.858056,YUC,CELYC,"Celest˙n, Yuc. SMN*",36.0
-89.657222,20.983611,YUC,CHMR_MERIDA,"Centro HidrometeorolÛgico Regional MÈrida, Yuc. SMN*",43.6
-89.829444,20.752778,YUC,CHOYC,"Chochol·, Yuc.",33.0
-89.638056,21.03,YUC,CICYC,"Centro de InvestigaciÛn CientÌfica, Yuc.",38.0
-89.501111,21.078889,YUC,CONYC,"Conkal, Yuc.",12.0
-87.676667,21.5125,YUC,CYOYC,"El Cuyo, Yuc.",125.2
-89.583611,20.983889,YUC,EZAYC,"Emiliano Zapata, Yuc.",52.6
-89.658056,20.984167,YUC,GARYC,"Organismo de Cuenca PenÌnsula de Yucat·n, Yuc.",51.0
-89.651111,20.946389,YUC,MEOYC,"Observatorio de MÈrida, Yuc.",46.9
-89.4375,21.105556,YUC,MOCYC,"Mococh·, Yuc.",24.5
-89.291667,21.094167,YUC,MTOYC,"Motul, Yuc.",23.1
-89.711667,20.493333,YUC,MUNYC,"Muna, Yuc.",40.5
-89.394722,20.290556,YUC,OXKYC,"Oxkutzcab, Yuc.",28.5
-88.930833,20.1325,YUC,PETYC,"Peto, Yuc.",28.0
-89.653889,21.275833,YUC,PROYC,"Observatorio de Progreso, Yuc.",9.0
-88.160278,21.571111,YUC,RILYC,"RÌo Lagartos, Yuc. SMN*",0.0
-88.160556,21.571667,YUC,RLAYC,"RÌo Lagartos, Yuc.",0.0
