LON,LAT,EDO,CLAVE,ESTACION,jul-22,,
-107.973333,26.9425,CHIH,TBRSI,"San Francisco, Chih.",213.93,,
-107.85,28.95,CHIH,TMCCH,"Observatorio de TemÛsachic, Chih.",93.23,,
-107.384167,29.5625,CHIH,TNTCH,"El Tintero, Chih.",108.03,,
-107.9125,27.216667,CHIH,URECH,"Urique, Chih.",289.30,,
-105.16,26.738611,CHIH,VICCH,"Villa Coronado, Chih.",77.60,,
-105.773333,27.99,CHIH,VILLALBA,"Villalba, Chih. SGT*",59.00,,
-105.806944,27.454444,CHIH,VZRCH,"Valle de Zaragoza, Chih.",74.51,,
-92.804167,16.552778,CHIS,ACACP,"Acala, Chis.",60.50,,
-92.034722,16.737778,CHIS,ALTAMIRANO,"Altamirano, Chis. SGT*",73.20,,
-92.778889,16.401389,CHIS,ANGCP,"Doctor Belisario DomÌnguez, Chis.",95.50,,
-93.8975,16.241111,CHIS,AROCP,"Observatorio de Arriaga, Chis.",226.40,,
-92.874722,17.188889,CHIS,ARROYOGRANDE,"Arroyo Grande, Chis. SGT*",239.60,,
-93.427222,17.253611,CHIS,AZAPACCFE,"Aza-Pac, Chis. CFE*",146.10,,
-92.905833,16.997222,CHIS,BOCHIL,"Bochil, Chis. SGT*",128.50,,
-93.026389,16.9525,CHIS,BOMBANA,"Bombana, Chis. SGT*",69.10,,
-93.15,16.641944,CHIS,BOQCP,"BoquerÛn, Chis.",93.00,,
-92.716667,15.35,CHIS,CACCP,"Cacaluta, Chis.",632.90,,
-92.4875,16.308333,CHIS,CASCAJAL,"Cascajal, Chis. SGT*",68.60,,
-92.479167,16.308333,CHIS,CASCP,"Cascajal, Chis.",59.70,,
-92.483056,15.969167,CHIS,CATARINITAS,"Catarinitas, Chis. SGT*",70.00,,
-93.117222,16.757778,CHIS,CENTRO2APTE,"Centro Segunda Poniente, Chis. SGT*",45.10,,
-91.703333,17.472222,CHIS,CHACAMAX,"Chacamax, Chis. SGT*",60.20,,
-92.715556,16.578056,CHIS,CHIAPILLA,"Villa de Chiapilla, Chis. SGT*",74.00,,
-92.281389,15.750278,CHIS,CHICOMUSELO,"Chicomuselo, Chis. SGT*",163.20,,
-93.100556,16.941667,CHIS,CHICP,"Manuel Moreno Torres, Chis.",69.80,,
-92.283333,15.75,CHIS,CHMCP,"Chicomuselo, Chis.",170.40,,
-92.133333,16.233333,CHIS,COMITANob,"Observatorio de Comit·n, Chis. SMN*",71.57,,
-92.1,16.2,CHIS,COOCP,"Observatorio de Comit·n, Chis.",74.40,,
-93.906111,16.2425,CHIS,CREDARRIAGA,"Cred Arriaga, Chis. SMN*",235.40,,
-93.076389,16.166944,CHIS,CREDREVOLUCIONM,"Cred RevoluciÛn Mexicana, Chis. SMN*",201.04,,
-93.15,16.730556,CHIS,CRISTALTV,"Cristal TV Azteca, Chis. SGT*",83.10,,
-92.965278,15.727778,CHIS,CUXTEPEQUES,"Finca Cuxtepeques, Chis. SGT*",474.30,,
-92.938056,15.881944,CHIS,CUXTEPEQUESHM,"Finca Cuxtepeques hidromÈtrica, Chis. SGT*",398.20,,
-92.575,15.204167,CHIS,DESCP,"Despoblado, Chis.",666.00,,
-92.925278,16.108333,CHIS,DORADOCFE,"El Dorado, Chis. CFE*",198.10,,
-92.590833,16.686111,CHIS,ELAGUAJE,"El Aguaje, Chis. SGT*",108.80,,
-92.584722,16.725833,CHIS,ELARCOTETE,"El Arcotete, Chis. SGT*",101.40,,
-92.828611,16.787778,CHIS,ELBURRERO,"El Burrero, Chis. SGT*",113.70,,
-92.95,15.495833,CHIS,ELNCP,"El Novillero, Chis.",476.02,,
-92.8975,15.994444,CHIS,ELPORTILLO,"El Portillo, Chis. SGT*",237.00,,
-92.808056,15.656667,CHIS,ELTRIUNFO,"El Triunfo, Chis. SMN*",435.33,,
-92.829444,17.373056,CHIS,ESCALONCP,"El EscalÛn, Chis. SGT*",409.40,,
-92.666667,15.316667,CHIS,ESCCP,"Escuintla, Chis.",678.50,,
-92.67,15.33,CHIS,ESCUINTLA,"Escuintla, Chis. SMN*",199.75,,
-93.342222,17.216667,CHIS,EZAPATACFE,"Emiliano Zapata, Chis. CFE*",227.00,,
-92.325278,15.173889,CHIS,FHACP,"Finca Hamburgo, Chis.",474.70,,
-93.125,16.975,CHIS,GRICP,"Grijalva, Chis.",81.10,,
-92.402778,14.997222,CHIS,HUECP,"Huehuet·n, Chis.",242.80,,
-92.472222,15.133333,CHIS,HUICP,"Huixtla, Chis.",501.54,,
-92.454167,16.712778,CHIS,HUIXTAN,"Huixt·n, Chis. SGT*",59.80,,
-92.471389,15.146944,CHIS,HUIXTLA,"Huixtla, Chis. SGT*",415.10,,
-92.184722,14.626111,CHIS,ILRAYON,"Ignacio LÛpez RayÛn, Chis. SGT*",103.50,,
-92.72,15.886111,CHIS,JALTENANGO,"Jaltenango, Chis. SGT*",350.80,,
-92.725,15.866667,CHIS,JAPCP,"Jaltenango, Chis.",347.41,,
-93.381389,17.364167,CHIS,JDGCP,"Juan de Grijalva, Chis.",230.30,,
-92.898611,15.996389,CHIS,JSBCP,"Juan Sabines, Chis.",273.30,,
-93.560278,16.692778,CHIS,LASFLORESCFE,"Las Flores, Chis. CFE*",254.70,,
-93.563333,16.6925,CHIS,LASFLORESII,"Las Flores Dos, Chis. SGT*",240.80,,
-93.561111,16.695833,CHIS,LFLCP,"Las Flores, Chis.",256.10,,
-93.598889,17.178611,CHIS,MALCP,"NezahualcÛyotl, Chis.",120.90,,
-93.604722,17.199444,CHIS,MALPASOCFE,"Malpaso, Chis. CFE*",104.34,,
-92.883333,15.45,CHIS,MAPCP,"Mapastepec, Chis.",591.90,,
-93.384444,16.0675,CHIS,MONTERREYCFE,"Monterrey, Chis. CFE*",200.50,,
-92.2675,15.333333,CHIS,MOTOZINTLA,"Motozintla, Chis. SGT*",131.60,,
-93.631667,16.493889,CHIS,NVAPALESTINA,"Nueva Palestina, Chis. SGT*",202.40,,
-93.150556,17.220556,CHIS,OCOCP,"Ocotepec, Chis.",129.80,,
-92.3375,16.851111,CHIS,OXCHUC,"Oxchuc, Chis. SGT*",214.80,,
-91.968056,15.848611,CHIS,PCOCP,"Puente Concordia, Chis.",46.90,,
-91.967778,15.849444,CHIS,PCONCORDIACFE,"Puente Concordia, Chis. CFE*",27.40,,
-93.458611,17.446111,CHIS,PENCP,"¡ngel Albino Corzo, Chis.",181.50,,
-93.474444,17.463611,CHIS,PENITAS,"PeÒitas, Chis. SGT*",155.60,,
-93.457778,17.445,CHIS,PENITASCFE,"PeÒitas, Chis. CFE*",180.70,,
-92.794167,15.714444,CHIS,PRUSIA,"Prusia, Chis. SGT*",650.80,,
-93.186667,16.753889,CHIS,PTECLUBCAMP,"Puente Club Campestre, Chis. SGT*",123.50,,
-92.649167,16.725278,CHIS,PTEMORELOS,"Puente Morelos, Chis. SGT*",65.60,,
-92.618056,16.7475,CHIS,QUIOSCO,"Quiosco, Chis. SGT*",88.80,,
-92.666667,15.916667,CHIS,REFCP,"Reforma, Chis.",264.10,,
-93.356111,17.883056,CHIS,REFORMA,"Reforma, Chis. SGT*",105.60,,
-93.079167,16.158333,CHIS,REVCP,"RevoluciÛn Mexicana, Chis.",240.20,,
-93.990278,16.471944,CHIS,RSALAZAR,"Rosendo Salazar, Chis. SGT*",118.40,,
-92.35,17.566667,CHIS,SAACP,"Salto de Agua, Chis.",193.70,,
-93.128889,16.790278,CHIS,SANJUANSEMIN,"San Juan Seminario, Chis. SGT*",46.30,,
-92.239167,15.776667,CHIS,SANMIGUELCFE,"San Miguel, Chis. CFE*",75.50,,
-91.3475,16.405278,CHIS,SANQUINTINHM,"San QuintÌn, Chis. SGT*",249.20,,
-93.741111,16.699722,CHIS,SANTALUCIAHM,"Santa LucÌa, Chis. SGT*",120.80,,
-93.231111,16.373611,CHIS,SANTUARIOCFE,"Santuario, Chis. CFE*",312.90,,
-93.383333,17.425,CHIS,SAYCP,"Sayula, Chis.",250.90,,
-92.603056,16.727222,CHIS,SCCASASCFE,"San CristÛbal de las Casas, Chis. CFE*",37.00,,
-92.633333,16.733333,CHIS,SCOCP,"Observatorio de San CristÛbal, Chis.",57.70,,
-92.616667,16.741667,CHIS,SCRCP,"Puente Morelos, Chis.",67.40,,
-93.056389,16.4525,CHIS,SDOCP,"Santo Domingo, Chis.",172.80,,
-93.133889,16.747222,CHIS,SECTEC59,"Secundaria TÈcnica 59, Chis. SGT*",60.80,,
-92.951389,15.872778,CHIS,SFRANCISCOII,"San Francisco 2, Chis. SGT*",435.00,,
-92.321944,15.558056,CHIS,SILTEPEC,"Siltepec, Chis. SGT*",188.60,,
-92.308333,17.028611,CHIS,SITALA,"Sitala, Chis. SGT*",99.20,,
-93.085,17.561111,CHIS,SJOCP,"San JoaquÌn, Chis.",206.70,,
-92.239444,15.775,CHIS,SMICP,"San Miguel, Chis.",79.80,,
-93.591111,16.152222,CHIS,SMORENACFE,"Sierra Morena, Chis. CFE*",144.90,,
-92.820833,16.938889,CHIS,SNACP,"Santa MarÌa, Chis.",85.50,,
-92.633333,16.733333,CHIS,SNCRISTOBALob,"Observatorio de San CristÛbal, Chis. SMN*",54.40,,
-92.731389,17.035556,CHIS,SPNICHTALUCUM,"San Pedro Nichtalucum, Chis. SGT*",290.10,,
-92.148889,14.698611,CHIS,SUCHIATE,"Suchiate, Chis. SGT*",255.90,,
-93.034167,16.742778,CHIS,SUMIDEROCFE,"CaÒÛn del Sumidero, Chis. CFE*",102.20,,
-92.260556,14.908056,CHIS,TAPCP,"Tapachula, Chis.",279.50,,
-92.478056,16.553611,CHIS,TEOPISCA,"Teopisca, Chis. SGT*",56.10,,
-92.426389,17.300278,CHIS,TILA,"Tila, Chis. SGT*",172.00,,
-93.529167,15.875,CHIS,TPICP,"Tres Picos, Chis.",319.90,,
-93.0575,16.736111,CHIS,TRABAJOSOCIAL,"Trabajo Social, Chis. SGT*",102.80,,
-93.577778,16.227222,CHIS,TRESPICOSCFE,"Tres Picos, Chis. CFE*",161.10,,
-93.1,16.761944,CHIS,TUXCP,"Tuxtla Oriente, Chis.",109.20,,
-93.086111,16.761667,CHIS,TUXTLACFE,"Tuxtla, Chis. CFE*",118.40,,
-93.147222,16.762778,CHIS,TUXTLAGTZob,"Observatorio de Tuxtla GutiÈrrez, Chis. SMN*",39.00,,
-93.086667,16.755278,CHIS,TXCCP,"Tuxtla GutiÈrrez CFE, Chis.",85.30,,
-93.133333,16.75,CHIS,TXOCP,"Observatorio de Tuxtla GutiÈrrez, Chis.",55.90,,
-93.414167,17.231111,CHIS,TZIMBACCFE,"Tzimbac, Chis. CFE*",101.20,,
-93.121944,16.778056,CHIS,UNICACH,"Universidad de Ciencias y Artes de Chiapas, Chis. SGT*",51.70,,
-92.909722,17.178333,CHIS,UNIVERSIDADLIND,"Universidad Lindavista, Chis. SMN*",95.36,,
-93.248056,16.253889,CHIS,VILLAFLORES,"Villaflores, Chis. SGT*",209.90,,
-93.330556,17.116667,CHIS,YAMCP,"YamonhÛ, Chis.",36.20,,
-91.729722,16.909167,CHIS,YAQUINTELA,"Yaquintela, Chis. SGT*",58.00,,
-100.837222,28.344444,COAH,ADLCL,"Allende, Coah.",48.00,,
-101.057222,29.446944,COAH,AMSCL,"Internacional La Amistad, Coah.",8.10,,
-100.929722,25.561111,COAH,ARACL,"Ramos Arizpe Aeropuerto, Coah.",3.01,,
-101.116667,29.15,COAH,CBRCL,"Cabeceras, Coah.",0.00,,
-102.064444,26.983333,COAH,CCGCL,"Cuatro CiÈnegas, Coah.",1.30,,
-100.950278,29.327778,COAH,CDACL,"Ciudad AcuÒa, Coah.",11.00,,
