LON,LAT,EDO,CLAVE,ESTACION,nov-22
-93.117222,16.757778,CHIS,CENTRO2APTE,"Centro Segunda Poniente, Chis. SGT*",20.1
-92.618611,16.963333,CHIS,CHALCHIHUITAN,"Chalchihuit·n, Chis. SGT*",211.8
-93.131389,17.341389,CHIS,CHAPULTENANGO,"Chapultenango SGT, Chis.",976.5
-92.715556,16.578056,CHIS,CHIAPILLA,"Villa de Chiapilla, Chis. SGT*",121.8
-92.281389,15.750278,CHIS,CHICOMUSELO,"Chicomuselo, Chis. SGT*",62.2
-93.100556,16.941667,CHIS,CHICP,"Manuel Moreno Torres, Chis.",39.9
-92.283333,15.75,CHIS,CHMCP,"Chicomuselo, Chis.",70.41
-93.466944,16.441389,CHIS,COBREGONCFE,"CristÛbal ObregÛn, Chis. CFE*",26.9
-92.133333,16.233333,CHIS,COMITANob,"Observatorio de Comit·n, Chis. SMN*",70.78
-92.1,16.2,CHIS,COOCP,"Observatorio de Comit·n, Chis.",84.6
-93.906111,16.2425,CHIS,CREDARRIAGA,"Cred Arriaga, Chis. SMN*",2.79
-92.965278,15.727778,CHIS,CUXTEPEQUES,"Finca Cuxtepeques, Chis. SGT*",54.6
-92.864444,16.038611,CHIS,CUXTEPEQUESCFE,"Cuxtepeques, Chis. CFE*",121.1
-92.938056,15.881944,CHIS,CUXTEPEQUESHM,"Finca Cuxtepeques hidromÈtrica, Chis. SGT*",74.5
-92.575,15.204167,CHIS,DESCP,"Despoblado, Chis.",178.8
-92.925278,16.108333,CHIS,DORADOCFE,"El Dorado, Chis. CFE*",98.9
-92.590833,16.686111,CHIS,ELAGUAJE,"El Aguaje, Chis. SGT*",45.6
-92.584722,16.725833,CHIS,ELARCOTETE,"El Arcotete, Chis. SGT*",91.6
-92.828611,16.787778,CHIS,ELBURRERO,"El Burrero, Chis. SGT*",31.8
-92.95,15.495833,CHIS,ELNCP,"El Novillero, Chis.",39.2
-92.808056,15.656667,CHIS,ELTRIUNFO,"El Triunfo, Chis. SMN*",91.39
-92.829444,17.373056,CHIS,ESCALONCP,"El EscalÛn, Chis. SGT*",405.1
-92.666667,15.316667,CHIS,ESCCP,"Escuintla, Chis.",256.6
-92.67,15.33,CHIS,ESCUINTLA,"Escuintla, Chis. SMN*",82
-93.342222,17.216667,CHIS,EZAPATACFE,"Emiliano Zapata, Chis. CFE*",684.4
-92.299167,15.126667,CHIS,FARCP,"Finca Argovia, Chis.",243.2
-92.325278,15.173889,CHIS,FHACP,"Finca Hamburgo, Chis.",236.2
-91.918,17.441,CHIS,FIMADERO,"Francisco I. Madero, Chis. SGT*",455.4
-93.125,16.975,CHIS,GRICP,"Grijalva, Chis.",44.2
-92.402778,14.997222,CHIS,HUECP,"Huehuet·n, Chis.",43.9
-92.472222,15.133333,CHIS,HUICP,"Huixtla, Chis.",291
-92.454167,16.712778,CHIS,HUIXTAN,"Huixt·n, Chis. SGT*",62.6
-92.471389,15.146944,CHIS,HUIXTLA,"Huixtla, Chis. SGT*",147.3
-92.72,15.886111,CHIS,JALTENANGO,"Jaltenango, Chis. SGT*",61.2
-92.725,15.866667,CHIS,JAPCP,"Jaltenango, Chis.",60.05
-93.381389,17.364167,CHIS,JDGCP,"Juan de Grijalva, Chis.",859.3
-92.898611,15.996389,CHIS,JSBCP,"Juan Sabines, Chis.",148.2
-93.560278,16.692778,CHIS,LASFLORESCFE,"Las Flores, Chis. CFE*",14.7
-93.563333,16.6925,CHIS,LASFLORESII,"Las Flores Dos, Chis. SGT*",10.1
-93.28,17.96,CHIS,MACAYOMI,"Macayo Margen Izquierda, Chis. SGT*",268.5
-93.598889,17.178611,CHIS,MALCP,"NezahualcÛyotl, Chis.",120.6
-93.604722,17.199444,CHIS,MALPASOCFE,"Malpaso, Chis. CFE*",104.94
-92.883333,15.45,CHIS,MAPCP,"Mapastepec, Chis.",245.8
-93.105833,16.741944,CHIS,MODULO5,"MÛdulo Cinco, Chis. SGT*",10.5
-92.673889,17.185556,CHIS,MOJOSTIC,"Mojostic, Chis. SGT*",86
-93.384444,16.0675,CHIS,MONTERREYCFE,"Monterrey, Chis. CFE*",22.5
-92.2675,15.333333,CHIS,MOTOZINTLA,"Motozintla, Chis. SGT*",26.3
-93.091389,16.7225,CHIS,MUCH,"Museo de Chiapas de Ciencia y TecnologÌa, Chis. SGT*",6.5
-93.631667,16.493889,CHIS,NVAPALESTINA,"Nueva Palestina, Chis. SGT*",2.2
-93.369167,17.455,CHIS,NVOXOCHIMILCO,"Nuevo Xochimilco, Chis. SGT*",586.8
-93.150556,17.220556,CHIS,OCOCP,"Ocotepec, Chis.",466.6
-92.3375,16.851111,CHIS,OXCHUC,"Oxchuc, Chis. SGT*",120
-91.968056,15.848611,CHIS,PCOCP,"Puente Concordia, Chis.",138.4
-91.967778,15.849444,CHIS,PCONCORDIACFE,"Puente Concordia, Chis. CFE*",139.2
-93.458611,17.446111,CHIS,PENCP,"¡ngel Albino Corzo, Chis.",355.7
