LON,LAT,EDO,CLAVE,ESTACION,oct-22
-103.392778,20.706667,JAL,GUCJL,"Observatorio de Guadalajara, Jal.",140.2
-105.184444,19.653889,JAL,HIGJL,"Higuera Blanca 2, Jal.",193.5
-103.651111,20.466944,JAL,HRTJL,"Hurtado, Jal.",25.51
-102.25,20.483333,JAL,HUAJL,"Huascato, Jal.",47.01
-102.705833,20.293889,JAL,JMYJL,"Jamay, Jal.",58.9
-103.201667,20.290556,JAL,LDCJL,"Lago de Chapala, Jal.",50.71
-101.919722,21.359722,JAL,LDMJL,"Lagos de Moreno, Jal.",25.52
-101.941944,21.348333,JAL,LMORENOob,"Observatorio de Lagos de Moreno, Jal. SMN*",30
-103.033333,20.316667,JAL,MEZCALA,"Mezcala Poncitl·n, Jal. SGT*",42.4
-103.590833,19.592222,JAL,NEVADOCOLIMA,"Nevado de Colima, Jal. SMN*",138.95
-101.916667,21.366667,JAL,OLMJL,"Observatorio de Lagos de Moreno, Jal.",30
-103.361667,20.583889,JAL,PITJL,"PIAE Toluquilla, Jal.",21.41
-102.231944,20.491111,JAL,POLJL,"Ing. Guillermo Lugo Sanabria, Jal.",41.01
-104.05,20.55,JAL,RAMJL,"RÌo Ameca, Jal.",26.21
-105.133611,19.998611,JAL,RIOTOMATLAN,"RÌo Tomatl·n, Jal. SMN*",68.03
-101.85,21.35,JAL,SAUJL,"La Sauceda, Jal.",17.5
-102.5,21.3,JAL,SGRJL,"San Gaspar de los Reyes, Jal.",56.7
-103.9175,19.463611,JAL,SMANANTLANI,"Sierra Manatl·n 1, Jal. SMN*",110.19
-103.705556,20.908889,JAL,SRSJL,"Manuel M. DiÈguez, Jal.",18.8
-102.583333,21.45,JAL,TCAJL,"Teocaltiche, Jal.",50.5
-104.320278,20.036111,JAL,TCTJL,"Tacot·n, Jal.",87.5
-103.198611,22.171944,JAL,TENJL,"Tenasco, Jal.",65
-103.316667,20.583333,JAL,TLAJL,"Tlaquepaque, Jal.",21.72
-103.419444,20.4425,JAL,TLAJOMULCO,"Tlajomulco, Jal. SMN*",14.59
-104.370278,19.976111,JAL,TMLJL,"RamÛn Corona Madrigal General, Jal.",107.8
-103.396667,18.967222,JAL,TRJCM,"Solidaridad, Jal.",98.52
