LON,LAT,EDO,CLAVE,ESTACION,sep-22
-93.8975,16.241111,CHIS,AROCP,"Observatorio de Arriaga, Chis.",427.7
-92.874722,17.188889,CHIS,ARROYOGRANDE,"Arroyo Grande, Chis. SGT*",396.7
-93.427222,17.253611,CHIS,AZAPACCFE,"Aza-Pac, Chis. CFE*",538.1
-92.905833,16.997222,CHIS,BOCHIL,"Bochil, Chis. SGT*",281.1
-93.026389,16.9525,CHIS,BOMBANA,"Bombana, Chis. SGT*",319.7
-93.15,16.641944,CHIS,BOQCP,"BoquerÛn, Chis.",198.1
-92.716667,15.35,CHIS,CACCP,"Cacaluta, Chis.",944.2
-92.4875,16.308333,CHIS,CASCAJAL,"Cascajal, Chis. SGT*",278.2
-92.479167,16.308333,CHIS,CASCP,"Cascajal, Chis.",347.5
-92.483056,15.969167,CHIS,CATARINITAS,"Catarinitas, Chis. SGT*",320.6
-93.117222,16.757778,CHIS,CENTRO2APTE,"Centro Segunda Poniente, Chis. SGT*",109
-91.703333,17.472222,CHIS,CHACAMAX,"Chacamax, Chis. SGT*",548.1
-92.618611,16.963333,CHIS,CHALCHIHUITAN,"Chalchihuit·n, Chis. SGT*",735.2
-93.131389,17.341389,CHIS,CHAPULTENANGO,"Chapultenango, Chis. SGT*",1238.9
-92.715556,16.578056,CHIS,CHIAPILLA,"Villa de Chiapilla, Chis. SGT*",309.6
-92.281389,15.750278,CHIS,CHICOMUSELO,"Chicomuselo, Chis. SGT*",496.4
-93.100556,16.941667,CHIS,CHICP,"Manuel Moreno Torres, Chis.",241.2
-92.283333,15.75,CHIS,CHMCP,"Chicomuselo, Chis.",604.1
-93.466944,16.441389,CHIS,COBREGONCFE,"CristÛbal ObregÛn, Chis. CFE*",286.9
-92.133333,16.233333,CHIS,COMITANob,"Observatorio de Comit·n, Chis. SMN*",240.3
-92.1,16.2,CHIS,COOCP,"Observatorio de Comit·n, Chis.",269.1
-93.906111,16.2425,CHIS,CREDARRIAGA,"Cred Arriaga, Chis. SMN*",478.8
-93.076389,16.166944,CHIS,CREDREVOLUCIONM,"Cred RevoluciÛn Mexicana, Chis. SMN*",196.7
-93.15,16.730556,CHIS,CRISTALTV,"Cristal TV Azteca, Chis. SGT*",71.2
-92.965278,15.727778,CHIS,CUXTEPEQUES,"Finca Cuxtepeques, Chis. SGT*",414.6
-92.864444,16.038611,CHIS,CUXTEPEQUESCFE,"Cuxtepeques, Chis. CFE*",181.5
-92.938056,15.881944,CHIS,CUXTEPEQUESHM,"Finca Cuxtepeques hidromÈtrica, Chis. SGT*",506.6
-92.575,15.204167,CHIS,DESCP,"Despoblado, Chis.",912.4
-92.925278,16.108333,CHIS,DORADOCFE,"El Dorado, Chis. CFE*",228.9
-92.590833,16.686111,CHIS,ELAGUAJE,"El Aguaje, Chis. SGT*",266.6
-92.584722,16.725833,CHIS,ELARCOTETE,"El Arcotete, Chis. SGT*",305.4
-92.828611,16.787778,CHIS,ELBURRERO,"El Burrero, Chis. SGT*",319.6
-92.95,15.495833,CHIS,ELNCP,"El Novillero, Chis.",458.7
-92.808056,15.656667,CHIS,ELTRIUNFO,"El Triunfo, Chis. SMN*",452.7
-92.829444,17.373056,CHIS,ESCALONCP,"El EscalÛn, Chis. SGT*",369.6
-92.666667,15.316667,CHIS,ESCCP,"Escuintla, Chis.",826.8
-92.67,15.33,CHIS,ESCUINTLA,"Escuintla, Chis. SMN*",574
-93.342222,17.216667,CHIS,EZAPATACFE,"Emiliano Zapata, Chis. CFE*",687.2
-92.299167,15.126667,CHIS,FARCP,"Finca Argovia, Chis.",954.5
-92.325278,15.173889,CHIS,FHACP,"Finca Hamburgo, Chis.",977.3
-92.476111,15.346667,CHIS,FPZCP,"Finca la Paz, Chis.",607.5
-93.125,16.975,CHIS,GRICP,"Grijalva, Chis.",273.9
-92.402778,14.997222,CHIS,HUECP,"Huehuet·n, Chis.",568.5
-92.472222,15.133333,CHIS,HUICP,"Huixtla, Chis.",913.4
-92.454167,16.712778,CHIS,HUIXTAN,"Huixt·n, Chis. SGT*",249
-92.471389,15.146944,CHIS,HUIXTLA,"Huixtla, Chis. SGT*",258.5
-92.72,15.886111,CHIS,JALTENANGO,"Jaltenango, Chis. SGT*",475
-92.725,15.866667,CHIS,JAPCP,"Jaltenango, Chis.",569.4
-93.381389,17.364167,CHIS,JDGCP,"Juan de Grijalva, Chis.",657.5
-92.898611,15.996389,CHIS,JSBCP,"Juan Sabines, Chis.",401.1
-93.560278,16.692778,CHIS,LASFLORESCFE,"Las Flores, Chis. CFE*",211.7
-93.563333,16.6925,CHIS,LASFLORESII,"Las Flores Dos, Chis. SGT*",217
-93.561111,16.695833,CHIS,LFLCP,"Las Flores, Chis.",230.5
-91.73,16.114444,CHIS,LMONTEBELLO,"Lagunas de Montebello, Chis. SMN*",311.5
-93.598889,17.178611,CHIS,MALCP,"NezahualcÛyotl, Chis.",464.9
-93.604722,17.199444,CHIS,MALPASOCFE,"Malpaso, Chis. CFE*",356.4
-92.883333,15.45,CHIS,MAPCP,"Mapastepec, Chis.",549.1
-93.105833,16.741944,CHIS,MODULO5,"MÛdulo Cinco, Chis. SGT*",223.7
-92.673889,17.185556,CHIS,MOJOSTIC,"Mojostic, Chis. SGT*",395.1
-93.384444,16.0675,CHIS,MONTERREYCFE,"Monterrey, Chis. CFE*",156
-92.2675,15.333333,CHIS,MOTOZINTLA,"Motozintla, Chis. SGT*",228.4
-93.091389,16.7225,CHIS,MUCH,"Museo de Chiapas de Ciencia y TecnologÌa, Chis. SGT*",272.1
-93.631667,16.493889,CHIS,NVAPALESTINA,"Nueva Palestina, Chis. SGT*",372
-93.369167,17.455,CHIS,NVOXOCHIMILCO,"Nuevo Xochimilco, Chis. SGT*",704.6
-93.150556,17.220556,CHIS,OCOCP,"Ocotepec, Chis.",610.5
-92.3375,16.851111,CHIS,OXCHUC,"Oxchuc, Chis. SGT*",316.4
-91.968056,15.848611,CHIS,PCOCP,"Puente Concordia, Chis.",423.3
-91.967778,15.849444,CHIS,PCONCORDIACFE,"Puente Concordia, Chis. CFE*",436.3
-93.458611,17.446111,CHIS,PENCP,"¡ngel Albino Corzo, Chis.",539.6
-93.474444,17.463611,CHIS,PENITAS,"PeÒitas, Chis. SGT*",571.6
-93.457778,17.445,CHIS,PENITASCFE,"PeÒitas, Chis. CFE*",534.1
-93.216667,15.691667,CHIS,PIJCP,"Pijijiapan, Chis.",336
-92.794167,15.714444,CHIS,PRUSIA,"Prusia, Chis. SGT*",791.4
-93.186667,16.753889,CHIS,PTECLUBCAMP,"Puente Club Campestre, Chis. SGT*",139
-92.649167,16.725278,CHIS,PTEMORELOS,"Puente Morelos, Chis. SGT*",289.2
-92.618056,16.7475,CHIS,QUIOSCO,"Quiosco, Chis. SGT*",308
-93.551667,17.353889,CHIS,RCALZADACFE,"RÛmulo Calzada, Chis. CFE*",395.7
-92.666667,15.916667,CHIS,REFCP,"Reforma, Chis.",521.8
-93.356111,17.883056,CHIS,REFORMA,"Reforma, Chis. SGT*",447.2
-93.030278,17.413333,CHIS,REFUGIOCP,"El Refugio, Chis. SGT*",789.3
-93.079167,16.158333,CHIS,REVCP,"RevoluciÛn Mexicana, Chis.",210.9
-93.102778,17.4975,CHIS,RIOJANEIRO,"RÌo de Janeiro, Chis. SGT*",956.4
-92.35,17.566667,CHIS,SAACP,"Salto de Agua, Chis.",729.5
-93.128889,16.790278,CHIS,SANJUANSEMIN,"San Juan Seminario, Chis. SGT*",262.3
-92.239167,15.776667,CHIS,SANMIGUELCFE,"San Miguel, Chis. CFE*",639.9
-91.3475,16.405278,CHIS,SANQUINTINHM,"San QuintÌn, Chis. SGT*",445
-93.741111,16.699722,CHIS,SANTALUCIAHM,"Santa LucÌa, Chis. SGT*",129
-93.383333,17.425,CHIS,SAYCP,"Sayula, Chis.",714.6
-92.603056,16.727222,CHIS,SCCASASCFE,"San CristÛbal de las Casas, Chis. CFE*",184.6
-92.633333,16.733333,CHIS,SCOCP,"Observatorio de San CristÛbal, Chis.",250.5
-92.616667,16.741667,CHIS,SCRCP,"Puente Morelos, Chis.",241.3
-93.056389,16.4525,CHIS,SDOCP,"Santo Domingo, Chis.",474.2
-93.1,16.786111,CHIS,SECTEC103,"Secundaria TÈcnica 103, Chis. SGT*",244.7
-93.133889,16.747222,CHIS,SECTEC59,"Secundaria TÈcnica 59, Chis. SGT*",191.8
-92.951389,15.872778,CHIS,SFRANCISCOII,"San Francisco 2, Chis. SGT*",446.3
-92.321944,15.558056,CHIS,SILTEPEC,"Siltepec, Chis. SGT*",412.4
-92.308333,17.028611,CHIS,SITALA,"Sitala, Chis. SGT*",345.9
-93.085,17.561111,CHIS,SJOCP,"San JoaquÌn, Chis.",814.3
-92.239444,15.775,CHIS,SMICP,"San Miguel, Chis.",643.9
-93.591111,16.152222,CHIS,SMORENACFE,"Sierra Morena, Chis. CFE*",224.4
-92.820833,16.938889,CHIS,SNACP,"Santa MarÌa, Chis.",442.7
-92.633333,16.733333,CHIS,SNCRISTOBALob,"Observatorio de San CristÛbal, Chis. SMN*",229.2
-92.731389,17.035556,CHIS,SPNICHTALUCUM,"San Pedro Nichtalucum, Chis. SGT*",646.1
-92.148889,14.698611,CHIS,SUCHIATE,"Suchiate, Chis. SGT*",328.6
-93.034167,16.742778,CHIS,SUMIDEROCFE,"CaÒÛn del Sumidero, Chis. CFE*",187.2
-93.244722,17.494167,CHIS,SUNUAPA,"Sunuapa, Chis. SGT*",699.4
-92.260556,14.908056,CHIS,TAPCP,"Tapachula, Chis.",800.2
-92.426389,17.300278,CHIS,TILA,"Tila, Chis. SGT*",415.8
-93.529167,15.875,CHIS,TPICP,"Tres Picos, Chis.",411.4
-93.0575,16.736111,CHIS,TRABAJOSOCIAL,"Trabajo Social, Chis. SGT*",133.1
-93.577778,16.227222,CHIS,TRESPICOSCFE,"Tres Picos, Chis. CFE*",277.3
-93.1,16.761944,CHIS,TUXCP,"Tuxtla Oriente, Chis.",308.2
-93.086111,16.761667,CHIS,TUXTLACFE,"Tuxtla, Chis. CFE*",150.2
-93.147222,16.762778,CHIS,TUXTLAGTZob,"Observatorio de Tuxtla GutiÈrrez, Chis. SMN*",152
-93.086667,16.755278,CHIS,TXCCP,"Tuxtla GutiÈrrez CFE, Chis.",199.7
-93.133333,16.75,CHIS,TXOCP,"Observatorio de Tuxtla GutiÈrrez, Chis.",205.8
-93.414167,17.231111,CHIS,TZIMBACCFE,"Tzimbac, Chis. CFE*",620.5
-93.121944,16.778056,CHIS,UNICACH,"Universidad de Ciencias y Artes de Chiapas, Chis. SGT*",254.3
-92.909722,17.178333,CHIS,UNIVERSIDADLIND,"Universidad Lindavista, Chis. SMN*",321.5
-93.248056,16.253889,CHIS,VILLAFLORES,"Villaflores, Chis. SGT*",226.9
-93.330556,17.116667,CHIS,YAMCP,"YamonhÛ, Chis.",409.5
-91.729722,16.909167,CHIS,YAQUINTELA,"Yaquintela, Chis. SGT*",296.2
-92.799722,17.270833,CHIS,ZACATONAL,"Zacatonal de Ju·rez, Chis. SGT*",435.4
-100.837222,28.344444,COAH,ADLCL,"Allende, Coah.",34
-101.057222,29.446944,COAH,AMSCL,"Internacional La Amistad, Coah.",59.5
-100.929722,25.561111,COAH,ARACL,"Ramos Arizpe Aeropuerto, Coah.",16
-102.064444,26.983333,COAH,CCGCL,"Cuatro CiÈnegas, Coah.",0.5
-100.950278,29.327778,COAH,CDACL,"Ciudad AcuÒa, Coah.",83
-100.661111,26.844444,COAH,CDLCL,"Candela, Coah.",193.5
-100.95,29.213611,COAH,CNTCL,"El Centenario, Coah.",168.5
-102.037778,26.990278,COAH,CUATROCIENEGAS,"Cuatro CiÈnegas, Coah. SMN*",5.8
-103.469167,25.542222,COAH,CYTCL,"Coyote, Coah.",41
-100.920833,25.436111,COAH,ESLCL,"SecretarÌa de Agricultura Saltillo, Coah.",62.5
-103.262778,25.773889,COAH,FIMCL,"Francisco I. Madero, Coah.",13
-100.954444,29.329167,COAH,LASVACASC,"Las Vacas. Ciudad AcuÒa, Coah. CILA*",55.6
-103.283889,25.068056,COAH,LFLDR,"La Flor, Coah.",35.5
-103.228056,25.527778,COAH,MATCL,"Matamoros, Coah.",27
-101.4225,26.908333,COAH,MCVCL,"Observatorio de Monclova, Coah.",149.3
-101.711389,28.013056,COAH,MORELOSMUZQUIZ,"Morelos M˙zquiz, Coah. SMN*",59.4
-100.5325,28.706667,COAH,PNGCL,"Observatorio de Piedras Negras, Coah.",42.9
-101.002222,27.422222,COAH,PRSCL,"Progreso, Coah.",72
-100.556944,28.667778,COAH,RIOESCONDIDOC,"RÌo Escondido Villa De Fuentes, Coah. CILA*",34.3
-101.016667,25.376389,COAH,SALCL,"Observatorio de Saltillo, Coah.",107.6
-101.016667,25.376389,COAH,SALTILLOob,"Observatorio de Saltillo, Coah. SMN*",98.2
-100.730833,29.071944,COAH,SANDIEGOC,"San Diego JimÈnez, Coah. CILA*",43.3
-101.122778,27.846667,COAH,SBNCL,"Sabinas, Coah.",52.6
-100.953889,29.034167,COAH,SMGCL,"San Miguel, Coah.",111
-102.979444,25.7575,COAH,SPECL,"San Pedro, Coah.",15.3
-101.016667,25.376389,COAH,STOCL,"Saltillo, Coah.",48.3
-103.45,25.541667,COAH,TORCL,"Observatorio de TorreÛn, Coah.",44
-100.95,27.519444,COAH,VCARRANZA,"Venustiano Carranza, Coah. SMN*",62.8
-100.616111,27.515,COAH,VCRCL,"Venustiano Carranza, Coah.",74
-103.613056,19.2475,COL,BVSCM,"Buenavista, Col.",162.1
-103.725556,18.758611,COL,CDOCM,"Cerro de Ortega, Col.",377.7
-103.702778,19.295,COL,CHNCM,"El Chanal, Col.",261.4
-103.626111,18.826389,COL,CLLCM,"Callejones, Col.",261.1
-103.757222,19.3175,COL,CMLCM,"Comala, Col.",239.6
-103.804167,19.2125,COL,CQMCM,"Coquimatl·n, Col.",93.9
-103.6,19.325,COL,CUACM,"CuauhtÈmoc, Col.",228.8
-103.884444,19.111389,COL,DJLCM,"Presa derivadora Jala, Col.",104.8
-110.953611,18.726667,COL,ISOCORROmar,"Isla Socorro, Col. SEMAR*",400.8
-103.866389,19.17,COL,LAECM,"La Esperanza, Col.",21.1
-103.774167,18.809167,COL,LDACM,"Laguna de Amela, Col.",197.7
-103.725278,19.223333,COL,LPSCM,"La Posta, Col.",151
-104.297778,19.069167,COL,MANZANILLOmar,"Manzanillo, Col. SEMAR*",497.6
-104.318611,19.044444,COL,MNZCM,"Observatorio de Manzanillo, Col.",448.5
-103.8125,19.3275,COL,PNTCM,"PeÒitas, Col.",149.8
-104.100556,18.938611,COL,RDRCM,"Radar, Col.",207.4
-103.700833,19.408333,COL,SCHCM,"Suchitl·n, Col.",258.5
-103.867778,18.911667,COL,TCMCM,"Tecom·n, Col.",320.5
-103.663333,19.2775,COL,TRPCM,"Trapiche, Col.",160
-99.210278,19.218611,DF,AJSDF,"Ajusco, Cd. de MÈx.",150.4
-99.188889,19.214722,DF,AJUSCO,"Ajusco, Cd. de MÈx. UNAM*",138.2
-99.08,19.465833,DF,ARAGON,"Conagua AragÛn, Cd. de MÈx. UNAM*",80.7
-99.102778,19.423056,DF,BALBUENA,"Balbuena, Cd. de MÈx. UNAM*",61.2
-99.118056,19.469722,DF,BONDOJITO,"Bondojito, Cd. de MÈx. UNAM*",79
-99.171667,19.453333,DF,CBIDF,"Escuela Nacional de Ciencias BiolÛgicas IPN, Cd. de MÈx. SMN*",31.8
-99.171667,19.453333,DF,CBIOLOGIPN,"Eescuela Nacional de Ciencias BiolÛgicas IPN, Cd. de MÈx. OCAVM*",69.4
-99.059722,19.383889,DF,CCHOTE,"Colegio de Ciencias y Humanidades Oriente, Cd. de MÈx. UNAM*",83.7
-99.140833,19.483333,DF,CCHVALLEJO,"Colegio de Ciencias y Humanidades Vallejo, Cd. de MÈx. UNAM*",49.9
-99.180556,19.346667,DF,CCUDF,"Universidad, Cd. de MÈx.",20.8
-98.999444,19.357222,DF,CDMDF,"C·rcel de Mujeres, Cd. de MÈx.",85.3
-99.1125,19.407778,DF,CDVDF,"Ciudad Deportiva, Cd. de MÈx.",64.2
-99.1375,19.516667,DF,CEADF,"Campamento Amealco, Cd. de MÈx.",91.1
-99.208333,19.155556,DF,CFSDF,"Caseta Forestal, Cd. de MÈx.",168.4
-99.1375,19.469722,DF,CMTDF,"Avenida Cien Metros, Cd. de MÈx.",29.7
-99.183333,19.486389,DF,CMYDF,"Campamento Mecoaya, Cd. de MÈx.",62.5
-99.134722,19.287778,DF,COAPA,"Coapa, Cd. de MÈx. UNAM*",63.5
-99.19,19.3375,DF,CONAGUAOFC,"Conagua Oficinas Centrales, Cd. de MÈx SGT*",24.5
-99.196111,19.406389,DF,CTMDF,"Observatorio de Tacubaya, Cd. de MÈx.",89.5
-99.09,19.190278,DF,CTNDF,"San Salvador Cuauhtenco, Cd. de MÈx.",96.5
-99.291667,19.355278,DF,CUAJIMALPA,"Memetla Cuajimalpa, Cd. de MÈx. UNAM*",104.3
-99.097222,19.193611,DF,CUAUHTENCO,"Cuauhtenco, Cd. de MÈx. UNAM*",76.4
-99.140833,19.549444,DF,CUAUTEPEC,"Cuautepec, Cd. de MÈx. UNAM*",71.7
-99.105,19.323333,DF,CULHUACAN,"Culhuac·n, Cd. de MÈx. UNAM*",105
-99.09,19.484167,DF,CYLDF,"Coyol, Cd. de MÈx.",61.2
-99.205,19.3,DF,DATDF,"DesviaciÛn Alta, Cd. de MÈx.",42.5
-99.310556,19.313056,DF,DDELOSLEONES,"Desierto de los Leones, Cd. de MÈx. SACMEX*",158.2
-99.131389,19.431111,DF,DDFDF,"Gobierno de la Ciudad de MÈxico, Cd. de MÈx.",55.4
-99.309167,19.313333,DF,DTLDF,"Desierto de los Leones, Cd. de MÈx.",160.8
